Dates,position_returns
1973-03-31,0.0
1973-04-30,0.07265615740192
1973-05-31,0.12662983425414365
1973-06-30,0.1781090623774031
1973-07-31,0.0004162504162503744
1973-08-31,-0.11159191145876668
1973-09-30,-0.0
1973-10-31,-0.0
1973-11-30,-0.0
1973-12-31,0.0
1974-01-31,0.21055097451274363
1974-02-28,0.16286090254663677
1974-03-31,0.12108100911935038
1974-04-30,0.022681391758698544
1974-05-31,-0.052078495123084045
1974-06-30,-0.0
1974-07-31,-0.0
1974-08-31,0.0
1974-09-30,-0.01855923435075002
1974-10-31,0.0
1974-11-30,0.14409875299156072
1974-12-31,0.012055488274798964
1975-01-31,-0.043785694859940105
1975-02-28,0.0
1975-03-31,-0.019752407152682228
1975-04-30,-0.0
1975-05-31,0.0
1975-06-30,-0.0
1975-07-31,0.0
1975-08-31,-0.041391721655668734
1975-09-30,-0.0
1975-10-31,0.0
1975-11-30,-0.03324002799160253
1975-12-31,0.0
1976-01-31,0.0
1976-02-29,0.0
1976-03-31,0.0
1976-04-30,0.0
1976-05-31,0.0
1976-06-30,0.0
1976-07-31,0.0
1976-08-31,0.0
1976-09-30,0.0
1976-10-31,0.0
1976-11-30,0.0
1976-12-31,0.0018621973929238145
1977-01-31,-0.016356877323419394
1977-02-28,0.07898715041572202
1977-03-31,0.043082311733800394
1977-04-30,-0.011081262592343988
1977-05-31,-0.029202037351443555
1977-06-30,0.00034977264777902306
1977-07-31,0.007692307692307221
1977-08-31,0.013185287994448514
1977-09-30,0.05513698630136998
1977-10-31,0.04836092177864315
1977-11-30,-0.008978328173374406
1977-12-31,0.03061543267728717
1978-01-31,0.0654743861776299
1978-02-28,0.0369843527738265
1978-03-31,-0.0035665294924551727
1978-04-30,-0.059196035242291
1978-05-31,0.07784606379865422
1978-06-30,-0.0059733912571271475
1978-07-31,0.09396339797869402
1978-08-31,0.04219725343320735
1978-09-30,0.04024916147580271
1978-10-31,0.11745739290649482
1978-11-30,-0.20280296784830976
1978-12-31,0.16856256463288521
1979-01-31,0.034070796460176966
1979-02-28,0.0753102267864787
1979-03-31,-0.044568245125348405
1979-04-30,0.02165764264889658
1979-05-31,0.11944557684468027
1979-06-30,0.010560815731973427
1979-07-31,0.06828828828828781
1979-08-31,0.06291111485916678
1979-09-30,0.26071088543319587
1979-10-31,-0.03838892385147907
1979-11-30,0.08808900523560181
1979-12-31,0.23180560567785435
1980-01-31,0.2753906250000002
1980-02-29,-0.024502297090352232
1980-03-31,-0.22370486656200983
1980-04-30,0.04752275025278041
1980-05-31,0.03378378378378355
1980-06-30,0.22035480859010215
1980-07-31,-0.0600612088752871
1980-08-31,0.027676027676027948
1980-09-30,0.05623762376237562
1980-10-31,-0.056617922759655825
1980-11-30,-0.014705882352941346
1980-12-31,-0.048406615570795064
1981-01-31,-0.14116150911403114
1981-02-28,-0.01579466929911144
1981-03-31,0.0
1981-04-30,0.0
1981-05-31,0.0
1981-06-30,0.0
1981-07-31,0.0
1981-08-31,0.0
1981-09-30,0.0
