,sharp,avg_return,max_drawdown,win_rate
"(10,5)",0.395432,0.0336,-32.0656,0.472243
"(15,5)",0.34684,0.0304,-30.8771,0.479709
"(15,10)",0.444267,0.0395,-28.931600000000003,0.495112
"(20,5)",0.35338,0.0313,-31.3666,0.485313
"(20,10)",0.414975,0.0373999999999999,-29.2744,0.499749
"(20,15)",0.375946,0.0344,-30.8345,0.504654
"(25,5)",0.352217,0.0313,-32.0963,0.489643
"(25,10)",0.364059,0.0332,-32.4654,0.50226
"(25,15)",0.396859,0.0364,-33.895599999999995,0.509063
"(25,20)",0.300518,0.0275,-36.5408,0.508319
"(30,5)",0.36671,0.0329,-31.9372,0.494497
"(30,10)",0.41228,0.0377,-31.0419,0.507496
"(30,15)",0.288584,0.0263,-38.0092,0.507091
"(30,20)",0.341247,0.0311,-32.8769,0.511651
"(30,25)",0.29091,0.0262,-39.2214,0.510763
"(35,5)",0.391103,0.0352,-30.7568,0.497384
"(35,10)",0.350139,0.0319,-32.4144,0.506345
"(35,15)",0.270008,0.0245,-40.7713,0.506663
"(35,20)",0.302563,0.0274,-37.0202,0.511428
"(35,25)",0.319207,0.0287,-35.841,0.514514
"(35,30)",0.351585,0.0312,-29.6858,0.515629
"(40,5)",0.361565,0.0326,-35.4217,0.500248
"(40,10)",0.336122,0.0305,-33.3887,0.507389
"(40,15)",0.342642,0.031,-35.7102,0.512153
"(40,20)",0.32145,0.0289,-32.3097,0.513566
"(40,25)",0.35576,0.0315,-30.035,0.51542
"(40,30)",0.315858,0.0279999999999999,-33.8828,0.515173
"(40,35)",0.310377,0.0268999999999999,-36.315,0.515401
"(45,5)",0.342085,0.0306999999999999,-36.8084,0.502083
"(45,10)",0.314919,0.0284999999999999,-38.773,0.508197
"(45,15)",0.33603,0.0302,-36.6282,0.513264
"(45,20)",0.349697,0.0312,-29.295900000000003,0.514286
"(45,25)",0.308895,0.0273,-32.8771,0.515425
"(45,30)",0.355527,0.0312,-34.9964,0.516023
"(45,35)",0.318659,0.0277,-36.5441,0.516137
"(45,40)",0.323366,0.0279999999999999,-42.3685,0.517153
"(50,5)",0.355357,0.0317999999999999,-36.4301,0.504984
"(50,10)",0.359045,0.0322,-34.4005,0.512041
"(50,15)",0.330641,0.0297,-35.1939,0.512554
"(50,20)",0.330838,0.0291,-30.9978,0.51508
"(50,25)",0.296507,0.0263,-34.4192,0.513909
"(50,30)",0.308282,0.0268,-36.4291,0.515662
"(50,35)",0.315442,0.0274,-42.1043,0.516593
"(50,40)",0.324817,0.0279999999999999,-41.2904,0.517906
"(50,45)",0.356713,0.0305,-41.7575,0.519628
"(55,5)",0.345031,0.0308,-36.8234,0.505309
"(55,10)",0.344003,0.0306999999999999,-35.4461,0.5111
"(55,15)",0.311272,0.0278,-33.2151,0.514211
"(55,20)",0.269933,0.0238,-33.3706,0.513948
"(55,25)",0.329691,0.0286,-35.1105,0.515789
"(55,30)",0.309933,0.0268999999999999,-41.244,0.516272
"(55,35)",0.328746,0.0284,-41.316,0.517598
"(55,40)",0.359522,0.0306999999999999,-42.7657,0.519274
"(55,45)",0.362641,0.0306999999999999,-38.7367,0.520646
"(55,50)",0.366566,0.0308,-36.2761,0.521971
"(60,5)",0.319699,0.0283,-38.1258,0.504664
"(60,10)",0.312191,0.0279,-35.868100000000005,0.511047
