,sharp,avg_return
"(10,5)",0.430699,0.037
"(15,5)",0.372557,0.033
"(15,10)",0.47587,0.0427
"(20,5)",0.380297,0.0341
"(20,10)",0.433246,0.0394
"(20,15)",0.391733,0.0362
"(10,5)",0.430699,0.037
"(15,5)",0.372557,0.033
"(15,10)",0.47587,0.0427
"(20,5)",0.380297,0.0341
"(20,10)",0.433246,0.0394
"(20,15)",0.391733,0.0362
"(25,5)",0.377004,0.0338
"(25,10)",0.377871,0.0348
"(25,15)",0.415188,0.0384
"(25,20)",0.31914,0.0294
"(30,5)",0.386642,0.0349999999999999
"(30,10)",0.42857,0.0395
"(30,15)",0.308033,0.0283
"(30,20)",0.361801,0.0331
"(30,25)",0.313469,0.0284
"(35,5)",0.409306,0.0371
"(35,10)",0.363938,0.0334
"(35,15)",0.290776,0.0265
"(35,20)",0.325033,0.0295
"(35,25)",0.33767,0.0305
"(35,30)",0.370382,0.033
"(40,5)",0.382629,0.0346999999999999
"(40,10)",0.349417,0.0317999999999999
"(40,15)",0.358105,0.0325
"(40,20)",0.343245,0.0308999999999999
"(40,25)",0.374777,0.0333
"(40,30)",0.329969,0.0293
"(40,35)",0.326186,0.0283
"(45,5)",0.360077,0.0325
"(45,10)",0.335166,0.0304
"(45,15)",0.358774,0.0323
"(45,20)",0.368663,0.033
"(45,25)",0.324213,0.0287
"(45,30)",0.372038,0.0327
"(45,35)",0.333405,0.029
"(45,40)",0.335713,0.0291
"(50,5)",0.375192,0.0337
"(50,10)",0.377262,0.034
"(50,15)",0.352972,0.0317
"(50,20)",0.348864,0.0308
"(50,25)",0.31244,0.0278
"(50,30)",0.322678,0.0281
"(50,35)",0.328989,0.0286
"(50,40)",0.338837,0.0292
"(50,45)",0.370829,0.0317
"(55,5)",0.361907,0.0325
"(55,10)",0.359088,0.0322
"(55,15)",0.328165,0.0293
"(55,20)",0.285083,0.0252
"(55,25)",0.347934,0.0302
"(55,30)",0.324231,0.0282
"(55,35)",0.341196,0.0295
"(55,40)",0.374244,0.032
"(55,45)",0.377095,0.032
"(55,50)",0.383375,0.0322
"(60,5)",0.345196,0.0306999999999999
"(60,10)",0.329508,0.0295
"(60,15)",0.307606,0.0272
"(60,20)",0.343926,0.0304
"(60,25)",0.313182,0.0272
"(60,30)",0.338501,0.0292
"(60,35)",0.343533,0.0294
"(60,40)",0.401856,0.0342
"(60,45)",0.38812,0.0327
"(60,50)",0.40476,0.034
"(60,55)",0.384253,0.0321
"(65,5)",0.313902,0.0278
"(65,10)",0.330905,0.0297
"(65,15)",0.309376,0.0273
"(65,20)",0.373632,0.0325
"(65,25)",0.325446,0.0281
"(65,30)",0.32333,0.0277
"(65,35)",0.387652,0.033
"(65,40)",0.391522,0.033
"(65,45)",0.407914,0.0343
"(65,50)",0.385642,0.0323
"(65,55)",0.394616,0.033
"(65,60)",0.393625,0.0328
"(70,5)",0.312346,0.0275
"(70,10)",0.306394,0.0273
"(70,15)",0.31319,0.0274
"(70,20)",0.329548,0.0284999999999999
"(70,25)",0.332059,0.0284999999999999
"(70,30)",0.360838,0.0306999999999999
"(70,35)",0.407563,0.0344
"(70,40)",0.408496,0.0344
"(70,45)",0.390124,0.0326
"(70,50)",0.387957,0.0325
"(70,55)",0.388201,0.0323
"(70,60)",0.443562,0.0368
"(70,65)",0.457944,0.0379
"(75,5)",0.280481,0.0247
"(75,10)",0.262756,0.0231
"(75,15)",0.290092,0.0252
"(75,20)",0.340404,0.0293
"(75,25)",0.342096,0.0292
"(75,30)",0.388682,0.0329
"(75,35)",0.434134,0.0366999999999999
"(75,40)",0.407047,0.0342
"(75,45)",0.393271,0.0329
"(75,50)",0.403799,0.0337
"(75,55)",0.44321,0.0369
"(75,60)",0.455563,0.0377
"(75,65)",0.476785,0.0393
"(75,70)",0.477918,0.0392
"(80,5)",0.294611,0.0257999999999999
"(80,10)",0.29515,0.0259
"(80,15)",0.289333,0.0252
"(80,20)",0.343487,0.0294
"(80,25)",0.358653,0.0304
"(80,30)",0.375295,0.0315
"(80,35)",0.403527,0.0339
"(80,40)",0.404753,0.0338
"(80,45)",0.400026,0.0334
"(80,50)",0.431265,0.0359
"(80,55)",0.458453,0.038
"(80,60)",0.478231,0.0394
"(80,65)",0.479316,0.0394
"(80,70)",0.476018,0.0391
"(80,75)",0.462495,0.0378
"(85,5)",0.306358,0.027
"(85,10)",0.282488,0.0247
"(85,15)",0.290257,0.0250999999999999
"(85,20)",0.342943,0.0292
"(85,25)",0.410836,0.0349
"(85,30)",0.419648,0.0353
"(85,35)",0.38681,0.0323
"(85,40)",0.401827,0.0336
"(85,45)",0.423896,0.0353
"(85,50)",0.461923,0.0383
"(85,55)",0.467114,0.0385
"(85,60)",0.485931,0.0401
"(85,65)",0.475206,0.0391
"(85,70)",0.462685,0.0379
"(85,75)",0.452534,0.0371
"(85,80)",0.469629,0.0384
"(90,5)",0.296035,0.026
"(90,10)",0.246111,0.0212
"(90,15)",0.275411,0.0237
"(90,20)",0.404,0.0343
"(90,25)",0.411652,0.0348
"(90,30)",0.398562,0.0335
"(90,35)",0.407444,0.0341
"(90,40)",0.407017,0.034
"(90,45)",0.448555,0.0373
"(90,50)",0.482349,0.0399
"(90,55)",0.475026,0.0391
"(90,60)",0.484752,0.0399
"(90,65)",0.457285,0.0373999999999999
"(90,70)",0.438272,0.0359
"(90,75)",0.474842,0.0389
"(90,80)",0.490208,0.04
"(90,85)",0.520022,0.0424999999999999
"(95,5)",0.29097,0.0254
"(95,10)",0.243969,0.021
"(95,15)",0.348766,0.0297999999999999
"(95,20)",0.434554,0.0369
"(95,25)",0.428101,0.0361
"(95,30)",0.40136,0.0336
"(95,35)",0.409265,0.0342
"(95,40)",0.439948,0.0366
"(95,45)",0.486187,0.0402
"(95,50)",0.480141,0.0395
"(95,55)",0.46861,0.0385
"(95,60)",0.477078,0.0391
"(95,65)",0.434147,0.0356
"(95,70)",0.469686,0.0385
"(95,75)",0.48925,0.04
"(95,80)",0.519992,0.0424
"(95,85)",0.522786,0.0424999999999999
"(95,90)",0.523268,0.0427
"(100,5)",0.315527,0.0273
"(100,10)",0.309548,0.0266999999999999
"(100,15)",0.407636,0.0346999999999999
"(100,20)",0.429688,0.0363
"(100,25)",0.395652,0.0333
"(100,30)",0.412158,0.0344999999999999
"(100,35)",0.446661,0.0373
"(100,40)",0.455169,0.0378
"(100,45)",0.461285,0.0381
"(100,50)",0.472632,0.0389
"(100,55)",0.472703,0.0387
"(100,60)",0.445901,0.0365
"(100,65)",0.449704,0.0368
"(100,70)",0.478074,0.0391
"(100,75)",0.507925,0.0415
"(100,80)",0.526252,0.0429
"(100,85)",0.525663,0.0429
"(100,90)",0.525173,0.0429
"(100,95)",0.544509,0.0444
"(105,5)",0.305784,0.0264
"(105,10)",0.295989,0.0254
